FID,BID,Latitude,Longitude,BarTyp,IsBarrier,Drop,FRRU,fdy150,fdy300,fdy2000,FACT_AADT,BFW_ft,SalmoMFHU,ShadMFHU,AlBkMFHU,BktMFHU,SalmoP,ShadP,BktP,AleP,BbkP,Cpcty_kW,StrcRD200,StrcRD1000,RsvrVolEst,AlRm5d_skm,fdr150cfs,fdr300cfs,fdr2000cfs,Hazard,ExpPow,ExpCost,RsvrRm_skm,CulvCond,Private,RepDiam_ft,DnCost,area_skm,Qtot_m3,MDIS_m3s_e,NCAP_m3_e,MaxRecurCu,MaxRecurDa,OBJECTID,SiteID,PRIORITY,N_PRIOR,N_CULVCOND,CulvRisk,N_PFLculv,HazEst,DamRisk,OT_RISK,RhP,FLRU,AlRm_5d_sm,Al5Dam,RhHabA,BkTHabA,SalmoHabA,ShadHabA,SLamHabA,EelHabA,wshdIssue,RH_P,ASAL_P,ASHA_P,BKT_P,AE_P,SL_P,Mean_P,overlap,HUC8,HUC12,TOWN,GEOCODE,Lngth_ft,MaxRecurCu_rcp45,CulvRisk_rcp45
3160,23210,43.76858516,-70.27377186,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3210,9100,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.737,0.742,0.744,0.737,0.29,0.529,0,0,1060001,10600010303,Falmouth,5070,27.992832,0,0
3161,23211,43.69302966,-70.27685757,2,0,0,0,0,0,0,1826,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.413307401,0,0,0,0,0,0,0,1147555,8178,6,1,0.875,0,10,0,999,15.15306703,1,0,0,0,0,0,0,0,0,0,0,0.823,0.815,0.82,0.823,0.47,0.665,0,0,1060001,10600010602,Portland,5170,24.9936,0,0
3162,23212,44.18731946,-70.74659061,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3212,8812,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010103,Waterford,17330,27.992832,0,0
3163,23213,44.18811144,-70.74767561,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3213,8811,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010103,Waterford,17330,27.992832,0,0
3164,23214,44.15886128,-70.72934924,2,0,0,0,0,0,0,671,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1145280,8982,5,1,0.5,0,10,0,999,28.75,1,0,0,0,0,0,0,0,0,0,0,0.836,0.826,0.831,0.836,0.505,0.683,0,0,1060001,10600010103,Waterford,17330,27.992832,0,0
3165,23215,43.66474896,-70.30755089,2,0,0,0,0,0,0,21,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1144485,8427,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.787,0.785,0.788,0.787,0.382,0.605,0,0,1060001,10600010402,Portland,5170,25.993344,0,0
3166,23216,43.71726433,-70.31142331,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3216,9119,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.696,0.707,0.707,0.696,0.236,0.477,0,0,1060001,10600010306,Portland,5170,27.992832,0,0
3167,23217,43.70429943,-70.30160089,2,0,0,0,0,0,0,29,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3217,9393,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.696,0.707,0.707,0.696,0.236,0.477,0,0,1060001,10600010306,Portland,5170,27.992832,0,0
3168,23218,43.68637425,-70.3120189,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3218,9396,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.63,0.65,0.648,0.63,0.172,0.403,0,0,1060001,10600010402,Portland,5170,27.992832,0,0
3169,23219,43.66932884,-70.32436081,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3219,9399,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.685,0.698,0.698,0.685,0.225,0.465,0,0,1060001,10600010402,Portland,5170,27.992832,0,0
3170,23220,43.65589881,-70.53432991,2,0,0,0,0,0,0,1005,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1144915,8955,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.855,0.845,0.85,0.855,0.603,0.748,0,0,1060001,10600010302,Buxton,31060,16.995648,0,0
3171,23221,43.6556812,-70.4919955,2,0,0,0,0,0,0,126,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1144914,8956,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.87,0.857,0.863,0.87,0.655,0.764,0,0,1060001,10600010302,Buxton,31060,23.993856,0,0
3172,23222,43.63858098,-70.52427356,2,0,0,0,0,0,0,754,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3222,8958,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.585,0.611,0.607,0.585,0.139,0.358,0,0,1060001,10600010302,Buxton,31060,27.992832,0,0
3173,23223,43.63447594,-70.5265092,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3223,9379,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.585,0.611,0.607,0.585,0.139,0.358,0,0,1060001,10600010302,Buxton,31060,27.992832,0,0
3174,23224,43.73897559,-70.42560502,2,0,0,0,0,0,0,7642,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1146743,9387,2,3,0.5,0,10,0,999,61.09752363,1,0,0,0,0,0,0,0,0,0,0,0.507,0.541,0.535,0.507,0.095,0.287,0,0,1060001,10600010304,Windham,5250,27.992832,0,0
3175,23225,43.86670932,-70.3489202,2,0,0,0,0,0,0,438,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1143587,8400,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.827,0.813,0.82,0.827,0.421,0.607,0,0,1060001,10600010301,Gray,5100,64.2835392,0,0
3176,23226,44.15820849,-70.72314935,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3226,8823,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.429,0.469,0.461,0.429,0.063,0.224,0,0,1060001,10600010103,Waterford,17330,27.992832,0,0
3177,23227,44.1622065,-70.71819631,2,0,0,0,0,0,0,142,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1144090,8529,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.716,0.724,0.725,0.716,0.259,0.499,0,0,1060001,10600010103,Waterford,17330,28.992576,0,0
3178,23228,44.1643853,-70.7172821,2,0,0,0,0,0,0,99,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1144089,8313,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.724,0.731,0.733,0.724,0.281,0.523,0,0,1060001,10600010103,Waterford,17330,23.993856,0,0
3179,23229,44.16628776,-70.71571952,2,0,0,0,0,0,0,1484,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1145844,8323,4,2,0.5,0,10,0,999,39.52747637,1,0,0,0,0,0,0,0,0,0,0,0.849,0.838,0.844,0.849,0.569,0.727,0,0,1060001,10600010103,Waterford,17330,19.99488,0,0
3180,23230,44.16933721,-70.7138348,2,0,0,0,0,0,0,2054,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,42771127,8817,4,2,0.875,0,10,0,999,33.34056703,1,0,0,0,0,0,0,0,0,0,0,0.625,0.644,0.643,0.625,0.153,0.371,0,0,1060001,10600010103,Waterford,17330,39.98976,0,0
3181,23231,43.88711348,-70.71082054,2,0,0,0,0,0,0,531,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.413307401,0,0,0,0,0,0,0,2133044,8068,5,1,0.625,0,10,0,999,28.75,1,0,0,0,0,0,0,0,0,0,0,0.804,0.799,0.804,0.804,0.423,0.635,0,0,1060001,10600010109,Sebago,5210,24.9936,0,0
3182,23232,43.86369692,-70.34258454,2,0,0,0,0,0,0,438,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3232,9414,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010301,Gray,5100,32.1417696,0,0
3183,23233,43.74145615,-70.35326501,2,0,0,0,0,0,0,13761,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1143518,8365,1,3,0.5,0,10,0,999,71.875,1,0,0,0,0,0,0,0,0,0,0,0.819,0.802,0.81,0.819,0.351,0.531,0,0,1060001,10600010306,Westbrook,5240,141.9536506,0,0
3184,23234,43.65135193,-70.50611807,2,0,0,0,0,0,0,1016,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.413307401,0,0,0,0,0,0,0,1144945,8545,6,1,0.75,0,10,0,999,16.5590217,1,0,0,0,0,0,0,0,0,0,0,0.883,0.863,0.871,0.883,0.674,0.718,0,0,1060001,10600010302,Buxton,31060,109.881863,0,0
3185,23235,43.86864691,-70.33286736,2,0,0,0,0,0,0,436,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1143584,8782,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.855,0.84,0.847,0.855,0.541,0.686,0,0,1060001,10600010301,Gray,5100,49.85723328,0,0
3186,23236,43.86593838,-70.33795939,2,0,0,0,0,0,0,1122,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1143585,8084,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.85,0.835,0.842,0.85,0.515,0.669,0,0,1060001,10600010301,Gray,5100,53.29635264,0,0
3187,23237,43.73339869,-70.42769504,2,0,0,0,0,0,0,36,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3237,8727,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.864,0.849,0.855,0.864,0.588,0.711,0,0,1060001,10600010304,Gorham,5090,47.55782208,0,0
3188,23238,43.74074707,-70.25729614,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3238,9145,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.86,0.844,0.851,0.86,0.554,0.686,0,0,1060001,10600010303,Falmouth,5070,59.69471424,0,0
3189,23239,44.28695004,-70.77177915,2,0,0,0,0,0,0,22,0.344422834,0,0,0,0,1,1,1,0.705804591,0.959292911,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3239,9483,6,1,0.5,0,10,0,999,17.96497637,0.832548751,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010101,Albany Twp,17802,42.6390816,0,0
3190,23240,43.90451222,-70.08838082,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3240,9443,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010203,Freeport,5080,19.68495936,0,0
3191,23241,43.82894353,-70.40093017,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,0.999998232,0.990174659,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3241,9076,7,1,0.5,0,10,0,999,7.1875,0.995086445,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010301,Windham,5250,16.3958016,0,0
3192,23242,43.8270946,-70.16652337,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3242,9371,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.437,0.477,0.469,0.437,0.066,0.23,0,0,1060001,10600010205,Yarmouth,5260,27.992832,0,0
3193,23243,43.8577449,-70.39551597,2,1,0,0,0,0,0,0,9.999366449,1237.908274,0,0,6189.54137,1,1,0.999999999,0.733387932,0.955550927,0,0,0,0,0,0,0,0,0,0,0,0,999,1,3.941107798,876.1228442,2.27138298,3.12863872,0,0,50,0,3243,9432,7,1,0.5,4,9.1,0,999,6.7375,0.844469429,0,0,0,0,6189.54137,6189.54137,0,6189.54137,6189.54137,0,0.762,0.765,0.767,0.762,0.357,0.594,0,0,1060001,10600010301,Gray,5100,18.03538176,18.64337758,4
3194,23244,43.82820286,-70.33163078,2,1,0,0,0,0,0,383,10.3063276,909.2663248,0,0,4546.331624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,12.36759312,49781.59671,2.436849137,1.104785905,0,0,5,0,3244,9430,6,1,0.5,5,9.82,0,999,17.74002363,0.643010513,0,0,0,0,4546.331624,4546.331624,0,4546.331624,4546.331624,0,0,0,0,0,0,0,0,0,1060001,10600010305,Gray,5100,39.03000576,3.752336421,3.752336421
3195,23245,43.82160927,-70.33567503,2,0,0,0,0,0,0,383,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3245,8971,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.873,0.863,0.867,0.873,0.702,0.8,0,0,1060001,10600010305,Windham,5250,12.46680768,0,0
3196,23246,43.7273058,-70.47080285,2,0,0,0,0,0,0,521,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3246,8736,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.807,0.797,0.802,0.807,0.373,0.576,0,0,1060001,10600010302,Gorham,5090,59.20483968,0,0
3197,23247,43.75610177,-70.48658015,2,0,0,0,0,0,0,126,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3247,9431,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.849,0.839,0.844,0.849,0.578,0.735,0,0,1060001,10600010302,Gorham,5090,17.38554816,0,0
3198,23248,44.23096975,-70.76371891,2,0,0,0,0,0,0,888,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3248,8806,4,2,0.5,0,10,0,999,39.52747637,1,0,0,0,0,0,0,0,0,0,0,0.403,0.445,0.436,0.403,0.058,0.213,0,0,1060001,10600010102,Waterford,17330,23.9438688,0,0
3199,23249,44.22626321,-70.76196206,2,0,0,0,0,0,0,1249,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.413307401,0,0,0,0,0,0,0,2132351,8904,4,2,0.625,0,10,0,999,39.52747637,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010102,Waterford,17330,29.99232,0,0
3200,23250,44.22017886,-70.75636696,2,0,0,0,0,0,0,78,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3250,8905,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010102,Waterford,17330,27.992832,0,0
3201,23251,44.2360274,-70.77131439,2,0,0,0,0,0,0,248,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3251,8320,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.122,0.154,0.146,0.122,0.005,0.041,0,0,1060001,10600010101,Waterford,17330,27.992832,0,0
3202,23252,43.80986229,-70.3781791,2,0,0,0,0,0,0,732,0.344422834,0,0,0,0,1,1,1,0.705804591,0.959292911,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,1817.464941,0,0,0,0,0,0,3252,8862,6,1,0.5,0,10,0,999,17.96497637,0.832548751,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010301,Windham,5250,42.6390816,0,0
3203,23253,43.90115025,-70.46474673,2,0,0,0,0,0,0,1335,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1143580,8631,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.701,0.711,0.712,0.701,0.247,0.489,0,0,1060001,10600010107,Raymond,5190,25.993344,0,0
3204,23254,43.86810594,-70.44814325,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3254,9067,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.776,0.774,0.778,0.776,0.354,0.583,0,0,1060001,10600010110,Windham,5250,27.992832,0,0
3205,23255,43.87010947,-70.44705923,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3255,9066,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.776,0.774,0.778,0.776,0.354,0.583,0,0,1060001,10600010110,Windham,5250,27.992832,0,0
3206,23256,43.8711788,-70.44580319,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3256,9065,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.776,0.774,0.778,0.776,0.354,0.583,0,0,1060001,10600010110,Windham,5250,27.992832,0,0
3207,23257,43.89000929,-70.46371535,2,0,0,0,0,0,0,15227,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1145760,8634,1,3,0.5,0,10,0,999,71.875,1,0,0,0,0,0,0,0,0,0,0,0.825,0.819,0.823,0.825,0.502,0.694,0,0,1060001,10600010107,Raymond,5190,16.995648,0,0
3208,23258,43.87543944,-70.65056708,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3258,9246,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.223,0.265,0.255,0.223,0.016,0.09,0,0,1060001,10600010109,Sebago,5210,27.992832,0,0
3209,23259,43.87812965,-70.65323812,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3259,9247,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.23,0.272,0.262,0.23,0.017,0.094,0,0,1060001,10600010109,Sebago,5210,27.992832,0,0
3210,23260,43.85976461,-70.64054528,2,0,0,0,0,0,0,2248,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3260,8377,3,2,0.5,0,10,0,999,50.3125,1,0,0,0,0,0,0,0,0,0,0,0.223,0.265,0.255,0.223,0.016,0.09,0,0,1060001,10600010109,Sebago,5210,27.992832,0,0
3211,23261,43.96994191,-70.60020176,2,0,0,0,0,0,0,12232,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1147420,8497,1,3,0.5,0,10,0,999,71.875,1,0,0,0,0,0,0,0,0,0,0,0.38,0.418,0.41,0.38,0.03,0.134,0,0,1060001,10600010105,Naples,5130,85.977984,0,0
3212,23262,43.91631948,-70.5899985,2,0,0,0,0,0,0,165,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3262,9044,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.056,0.076,0.071,0.056,0.001,0.015,0,0,1060001,10600010110,Naples,5130,27.992832,0,0
3213,23263,44.2885617,-70.77186268,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3263,9192,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010101,Albany Twp,17802,27.992832,0,0
3214,23265,44.29320803,-70.78298641,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3265,9188,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.234,0.276,0.266,0.234,0.017,0.096,0,0,1060001,10600010101,Albany Twp,17802,27.992832,0,0
3215,23266,44.24616708,-70.6549089,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3266,9285,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.641,0.66,0.658,0.641,0.182,0.415,0,0,1060001,10600010102,Norway,17210,27.992832,0,0
3216,23267,44.24312649,-70.74096813,2,0,0,0,0,0,0,360,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3267,8897,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010102,Waterford,17330,27.992832,0,0
3217,23268,44.27373827,-70.77648992,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3268,9295,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010101,Albany Twp,17802,27.992832,0,0
3218,23269,44.27357555,-70.77991154,2,0,0,0,0,0,0,1322,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.413307401,0,0,0,0,0,0,0,42740409,8983,4,2,0.625,0,10,0,999,39.52747637,1,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0,0,0,0,1060001,10600010101,Albany Twp,17802,51.986688,0,0
3219,23270,44.30176044,-70.79652021,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,3270,9181,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010101,Albany Twp,17802,27.992832,0,0
3220,23271,44.25187376,-70.81871566,2,0,0,0,0,0,0,258,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1143944,8524,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.773,0.774,0.777,0.773,0.371,0.603,0,0,1060001,10600010101,Stoneham,17280,19.99488,0,0
3221,23272,44.27027089,-70.84023899,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3272,9210,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,0.564,0.592,0.588,0.564,0.126,0.338,0,0,1060001,10600010101,Stoneham,17280,27.992832,0,0
3222,23273,44.27043673,-70.83138206,2,0,0,0,0,0,0,0,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,0,3273,9211,7,1,0.5,0,10,0,999,7.1875,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1060001,10600010101,Stoneham,17280,27.992832,0,0
3223,23274,43.98653334,-70.56055272,2,0,0,0,0,0,0,505,0.344422834,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0.413307401,0,0,0,0,0,0,0,1144763,8583,6,1,0.5,0,10,0,999,17.96497637,1,0,0,0,0,0,0,0,0,0,0,0.686,0.691,0.694,0.686,0.163,0.369,0,0,1060001,10600010106,Casco,5050,98.40480192,0,0
